zinc_id,smiles
ZINC000000000947,CCC(=O)O[C@@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)C=C[C@]4(C)[C@H]3CC[C@@]21C
ZINC000000000992,COc1cc(C(=O)/C=C/C(=O)O)cc(OC)c1OC
ZINC000000001004,C[C@@]12CCC(=O)C=C1C[C@@H]1[C@@H]3CC[C@@](C)(O)[C@@]3(C)CC[C@H]12
ZINC000000001008,O=C(CNC(=O)c1ccc(Cl)cc1)NO
ZINC000000001030,CC1(C)C=C(n2ccccc2=O)c2cc(C#N)ccc2O1
ZINC000000001036,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@@H](O)CC[C@H]12
ZINC000000001055,O=C1C(c2ccc(Br)cc2)=C(O)c2ccccc21
ZINC000000001073,CC(C)(C)C1CCC(CC2=C(O)C(=O)c3ccccc3C2=O)CC1
ZINC000000001088,C[C@@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]3CC[C@]4(CCC(=O)O4)[C@@]3(C)CC[C@H]12
ZINC000000001119,C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=C(Cl)C(=O)CC[C@@H]4[C@H]3CC[C@]21C
ZINC000000001121,O=S(=O)(/N=C(\O)NC1CCCCC1)c1ccc(Cl)cc1
ZINC000000001125,C[C@]12C=CC(=O)C(Cl)=C1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O
ZINC000000001141,CN(C)CCCN1c2ccccc2CCc2ccc(C#N)cc21
ZINC000000001142,CC(=O)Nn1cnc(=O)c(C#N)c1
ZINC000000001153,C=C[C@@H]1CN2CC[C@H]1C[C@@H]2[C@H](O)c1ccnc2ccccc12
ZINC000000001154,C=C[C@@H]1CN2CC[C@H]1C[C@H]2[C@@H](O)c1ccnc2ccccc12
ZINC000000001164,CC1=C2C(=CO[C@@H](C)[C@@H]2C)C(O)=C(C(=O)O)C1=O
ZINC000000001181,O=C1CN(/N=C/c2ccc(-c3ccc(Cl)c(Cl)c3)o2)C(=O)N1
ZINC000000001205,C[C@]12CCC(=O)C(Cl)=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@@H](O)CC[C@H]12
ZINC000000001215,C[C@@]12CCC(=O)C=C1CC[C@@H]1[C@@H]3CC[C@@](O)(C(=O)CO)[C@@]3(C)CC[C@H]12
ZINC000000001224,CC1(C)Oc2ccc(C#N)cc2[C@@H](N2CCCC2=O)[C@@H]1O
ZINC000000001244,C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@]21C
ZINC000000001251,COc1ccc2[nH]c(C)c(CC(=O)NO)c2c1
ZINC000000001254,CN1C[C@H](CC#N)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
ZINC000000001278,O=C1C(=O)c2ccccc2C(O)=C1CC=C(Cl)Cl
ZINC000000001284,C[C@@]12CCC3=C4CCC(=O)C=C4CC[C@@H]3[C@H]1CC[C@@]2(O)CC#N
ZINC000000001326,C#CC1(OC(=O)NC(N)=O)CCCCC1
ZINC000000001358,C#CC(OC(=O)NC1CCCCC1)(c1ccccc1)c1ccccc1
ZINC000000001372,CCC(=O)O[C@@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@H]4[C@H]3CC[C@@]21C
ZINC000000001379,CCOC(=O)c1cnc2c(cnn2CC)c1NN=C(C)C
ZINC000000001382,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
ZINC000000001385,C#CC1(OC(N)=O)CCCCC1
ZINC000000001393,C[C@@]12CCC3=C4CCC(=O)C=C4CC[C@@H]3[C@H]1CC[C@@]2(O)C#CCl
ZINC000000001411,C=CCc1ccc(O)c(OC)c1
ZINC000000001436,CN1CC(O)=N/C1=N\C(=O)Nc1cccc(Cl)c1
ZINC000000001450,C/C(=N\NC(=S)Nc1ccccc1N)c1ccccn1
ZINC000000001462,O=C1C(c2ccc(C(F)(F)F)cc2)=C(O)c2ccccc21
ZINC000000001463,O=C1C(c2ccc(F)cc2)=C(O)c2ccccc21
ZINC000000001491,C=C(CC)C(=O)c1cc2cc(C(=O)O)oc2cc1C
ZINC000000001509,O=S(=O)(/N=C(\O)NN1CCCCCC1)c1ccc2c(c1)CCC2
ZINC000000001513,O=S(=O)(/N=C(\O)NN1CCCC1)c1ccc(Cl)cc1
ZINC000000001514,Cc1ccc(S(=O)(=O)/N=C(\O)NC2CCCCC2)cc1
ZINC000000001515,O=S(=O)(/N=C(\O)NC1CCCCC1)c1ccc2c(c1)CCC2
ZINC000000001516,Cc1ccc(S(=O)(=O)/N=C(\O)NC2CCCCCCC2)cc1
ZINC000000001517,O=S(=O)(/N=C(\O)NN1CCCCCC1)c1ccc(Cl)cc1
ZINC000000001522,N=C(N)N/N=C/c1c(Cl)cccc1Cl
ZINC000000001529,Cc1ccc(S(=O)(=O)/N=C(\O)NC2CCCCCC2)cc1
ZINC000000001531,C#CCC1(OC(N)=O)CCCCC1
ZINC000000001536,C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1
ZINC000000001570,CCC1=C2CC[C@@]3(C)[C@@H](CC[C@H]3O)[C@H]2CCC1=O
ZINC000000001571,CCC1=C2CC[C@@]3(C)[C@@H](CC[C@H]3OC(C)=O)[C@H]2CCC1=O
ZINC000000001602,Cc1cc(NC(=O)[C@@H](C#N)C(=O)C2CC2)ccc1C(F)(F)F
ZINC000000001609,C=CCN1CC[C@]23CCCC[C@@H]2[C@H]1Cc1ccc(O)cc13
ZINC000000001617,O=C(O)Cc1ccc(C2=CC(=O)CCC2)cc1
ZINC000000001645,C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1
ZINC000000001664,CC(=O)[C@]1(O)CC[C@H]2[C@@H]3C[C@@H](C)C4=CC(=O)CC[C@]4(C)[C@@H]3CC[C@@]21C
ZINC000000001677,CC1=CC(=O)c2ccccc2C1=O
ZINC000000001678,CC1=C/C(=N/OCC(=O)O)c2ccccc2C1=O
ZINC000000001703,CC(=O)O[C@@H]1CC[C@H]2[C@H]3CC[C@H]4CC(=O)C=C(C)[C@]4(C)[C@H]3CC[C@@]21C
ZINC000000001727,C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21C
ZINC000000001770,C=C1CC[C@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5
ZINC000000001771,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@@H]2[C@H](O)C=C[C@@H]3[C@H]1C5
ZINC000000001772,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@@H]2C(=O)CC[C@]3(O)[C@H]1C5
ZINC000000001776,C[C@@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@H]1CC[C@@H]2O
ZINC000000001777,CCC(=O)O[C@@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
ZINC000000001782,O=C1C(c2cccc3ccccc23)=C(O)c2ccccc21
ZINC000000001803,O=C1NCCN1/N=C/c1ccc([N+](=O)[O-])o1
ZINC000000001804,O=C1N(CCO)CCN1/N=C/c1ccc([N+](=O)[O-])o1
ZINC000000001815,N#CCN1CC(=N)N(c2ccc(Cl)cc2)C1=O
ZINC000000001816,Cc1cc(Cl)ccc1N=C1SCS1
ZINC000000001823,N#Cc1cc(I)c(O)c([N+](=O)[O-])c1
ZINC000000001827,CC(=O)[C@]1(O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@@H]4[C@@H]3CC[C@@]21C
ZINC000000001829,C[C@@]12CC[C@@H]3[C@H]4CCC(=O)C(Cl)=C4CC[C@H]3[C@H]1CC[C@@H]2O
ZINC000000001833,C#C[C@@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
ZINC000000001836,C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]21C
ZINC000000001840,C[C@]12CC[C@@H]3[C@H](C=CC4=CC(=O)CC[C@]43C)[C@@H]1CCC(=O)O2
ZINC000000001876,C=CC[N+]([O-])(CC=C)c1nc(N)nc(N)n1
ZINC000000001891,O=C1C(O)=C(C2CCCCC2)C(=O)c2ccccc21
ZINC000000001925,O=C1C(c2ccccc2)=C(O)c2ccccc21
ZINC000000001936,CC1=C(O)C(=O)c2ccccc2C1=O
ZINC000000001950,C#CCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
ZINC000000001974,CC(=O)[C@@H]1CC[C@@H]2[C@H]3C[C@@H](C)C4=CC(=O)CC[C@]4(C)[C@@H]3C(=O)C[C@@]12C
ZINC000000001990,CCOC(=O)/C(=C/c1ncc([N+](=O)[O-])n1C)C(C)=O
ZINC000000001992,C#CCC1(OC(=O)CC)CCN(CCc2ccccc2)CC1
ZINC000000002016,C=CCN1CCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1
ZINC000000002035,COc1cc(C(=O)/C=C/N2CC=CC2)cc(OC)c1OC
ZINC000000002050,C=CCc1ccc2c(c1)OCO2
ZINC000000002078,CC(=O)O[C@@H]1CC[C@H]2[C@@H]3CC[C@@H]4CC(=O)C(C)=C[C@]4(C)[C@H]3CC[C@@]21C
ZINC000000002089,Cc1ccc(/C(O)=N/S(=O)(=O)c2ccc(N)cc2)cc1C
ZINC000000002093,CC(C)=C/C(O)=N/S(=O)(=O)c1ccc(N)cc1
ZINC000000002103,CC(C)Oc1ccc(/C(O)=N/S(=O)(=O)c2ccc(N)cc2)cc1
ZINC000000002133,O=C1/C(=C\c2cccs2)CCC/C1=C/c1cccs1
